# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
10                      	Top	1.2519392593584919e+02	1.5974393290396281e+02	1.4002881553758900e+02
10                      	Bottom	1.2315520013387150e+02	1.6112625961131934e+02	1.4066110582291552e+02
10                      	circle	1.7618505832571003e+01	6.6579665580081283e+01	4.4863950121683729e+01
10.5                    	Top	1.2518471909532362e+02	1.5974663973495333e+02	1.3975345998088352e+02
10.5                    	Bottom	1.2277178600141060e+02	1.6026739535514989e+02	1.4043042452642436e+02
10.5                    	circle	1.6243599217795744e+01	6.6551308404683823e+01	4.4842564567474078e+01
11                      	Top	1.2518198924175117e+02	1.5975280035033015e+02	1.3950296521851831e+02
11                      	Bottom	1.2254216855933717e+02	1.5950332792760602e+02	1.4021429777365793e+02
11                      	circle	1.4380673517926098e+01	6.6486776185617700e+01	4.4736179333423870e+01
11.5                    	Top	1.2518802169996884e+02	1.5976007834736930e+02	1.3927209603281926e+02
11.5                    	Bottom	1.2241923037145376e+02	1.5890410947656767e+02	1.4001363647414706e+02
11.5                    	circle	1.2879891524916921e+01	6.6417878342285306e+01	4.4601478027448323e+01
12                      	Top	1.2520077236306780e+02	1.5976576680287579e+02	1.3905704773710661e+02
12                      	Bottom	1.2235944548407991e+02	1.5849583785862234e+02	1.3983055869043602e+02
12                      	circle	1.2566922120213093e+01	6.6374012565376233e+01	4.4503856190924985e+01
12.5                    	Top	1.2521540295290515e+02	1.5976741060110416e+02	1.3885666637625863e+02
12.5                    	Bottom	1.2233182951737139e+02	1.5825549730430600e+02	1.3966740507794665e+02
12.5                    	circle	1.3562677551849784e+01	6.6370308614412536e+01	4.4481716383522738e+01
13                      	Top	1.2522703555268168e+02	1.5976521950506230e+02	1.3867236942545685e+02
13                      	Bottom	1.2231995999791792e+02	1.5813198932907312e+02	1.3952711002125778e+02
13                      	circle	1.5286860835527303e+01	6.6403780441341041e+01	4.4537374427493859e+01
13.5                    	Top	1.2523251724826078e+02	1.5976120962218613e+02	1.3850713117095421e+02
13.5                    	Bottom	1.2231760069814439e+02	1.5807332894414424e+02	1.3941203320063056e+02
13.5                    	circle	1.6837905462309926e+01	6.6455790326983561e+01	4.4636609978226218e+01
14                      	Top	1.2523025282497842e+02	1.5975643218275957e+02	1.3836501243189622e+02
14                      	Bottom	1.2232045124766728e+02	1.5804208414851814e+02	1.3932163126413272e+02
14                      	circle	1.7607598041267963e+01	6.6502803606978858e+01	4.4732256209850874e+01
14.5                    	Top	1.2522311978943306e+02	1.5975366193129742e+02	1.3824881858855659e+02
14.5                    	Bottom	1.2232679241157201e+02	1.5802209755681577e+02	1.3925390003807763e+02
14.5                    	circle	1.7477816479293232e+01	6.6523706099439181e+01	4.4787343149708143e+01
15                      	Top	1.2521580757494856e+02	1.5975444969082457e+02	1.3815928267424630e+02
15                      	Bottom	1.2233472555988740e+02	1.5800977943221162e+02	1.3920474663735226e+02
15                      	circle	1.6559323606900467e+01	6.6507639334571039e+01	4.4779284071750254e+01
15.5                    	Top	1.2521330543937181e+02	1.5975873275768839e+02	1.3809447736647277e+02
15.5                    	Bottom	1.2234257988688620e+02	1.5800594254474922e+02	1.3916964531471984e+02
15.5                    	circle	1.5189036086823641e+01	6.6461904613575882e+01	4.4712996735593087e+01
16                      	Top	1.2503890224528675e+02	1.5976419477857237e+02	1.3805007603421376e+02
16                      	Bottom	1.2234864796588926e+02	1.5800980705590666e+02	1.3914437467328253e+02
16                      	circle	1.3964564865472086e+01	6.6407897895345585e+01	4.4617044170145675e+01
16.5                    	Top	1.2474681601759208e+02	1.5976882048408063e+02	1.3802003856318660e+02
16.5                    	Bottom	1.2235312993651539e+02	1.5801924408746447e+02	1.3912674086326615e+02
16.5                    	circle	1.3525100207357443e+01	6.6370057251182558e+01	4.4540365248460645e+01
17                      	Top	1.2454362817036761e+02	1.5977022580386944e+02	1.3799881427487566e+02
17                      	Bottom	1.2235595787874033e+02	1.5803002998840483e+02	1.3911543559334729e+02
17                      	circle	1.4165538033782106e+01	6.6364762196841781e+01	4.4519561631854572e+01
17.5                    	Top	1.2440044191941443e+02	1.5976840682093828e+02	1.3798191953753181e+02
17.5                    	Bottom	1.2235858662792837e+02	1.5803962677870081e+02	1.3911023413386278e+02
17.5                    	circle	1.5539177089531830e+01	6.6392686425535359e+01	4.4561120741190692e+01
18                      	Top	1.2429513231029095e+02	1.5976462860922010e+02	1.3796671595162110e+02
18                      	Bottom	1.2236259027735483e+02	1.5804672216506063e+02	1.3911038959407179e+02
18                      	circle	1.6890917462719397e+01	6.6438863229045808e+01	4.4640907982873500e+01
18.5                    	Top	1.2421364584013534e+02	1.5976006514473693e+02	1.3795275015141252e+02
18.5                    	Bottom	1.2236773690019631e+02	1.5805076006514992e+02	1.3911401092199418e+02
18.5                    	circle	1.7637621629275252e+01	6.6482689971639928e+01	4.4721656262163158e+01
19                      	Top	1.2414805165697523e+02	1.5975704299861670e+02	1.3794079577315622e+02
19                      	Bottom	1.2237394229962862e+02	1.5805313687276774e+02	1.3911895043258795e+02
19                      	circle	1.7562475281822501e+01	6.6504521064414746e+01	4.4770632151511563e+01
19.5                    	Top	1.2409446408827202e+02	1.5975744616861974e+02	1.3793239830010171e+02
19.5                    	Bottom	1.2238036298056254e+02	1.5805547181242792e+02	1.3912319285707963e+02
19.5                    	circle	1.6725332294622710e+01	6.6492535286887545e+01	4.4764922705035374e+01
20                      	Top	1.2405125446047509e+02	1.5976100314417278e+02	1.3792837867341049e+02
20                      	Bottom	1.2238571580554016e+02	1.5805904365643048e+02	1.3912512266166601e+02
20                      	circle	1.5421380032187370e+01	6.6451474657192918e+01	4.4704621894652227e+01
20.5                    	Top	1.2401735590122274e+02	1.5976590830813171e+02	1.3792825215352750e+02
20.5                    	Bottom	1.2238903161995185e+02	1.5806452912901423e+02	1.3912437943673984e+02
20.5                    	circle	1.4212546260851642e+01	6.6400476687847487e+01	4.4613675399649665e+01
21                      	Top	1.2399180351960359e+02	1.5977024069099676e+02	1.3793019021866661e+02
21                      	Bottom	1.2239075242005374e+02	1.5807206016764800e+02	1.3912221986077012e+02
21                      	circle	1.3711493414675648e+01	6.6363339766550865e+01	4.4538253275122898e+01
